urn_lang,git_folder,name,file_format,usedAs,file_size,file_sizeLines,fileZip_sizeKb,content_pubDate,content_sameAs_urn,validYear_from,validYear_to,file_sha3,description,url_descr,url_file
pt-br;1980-2015:dic;delacf;csv:okbr:2004;r1,data/mirror,DELACF,utf8-csv-delacf-v1,source,151Kb,4078,,,pt-br:dic;delacf:nilc:2004;r1:original,,,ab492520388e12876e1d7ef9ed52daa44d6d0cd2d9344f22f9c9c9fa,,,
pt-br;1980-2015:dic;delas;csv:okbr:2004;r1,data/mirror,DELAS-2004_r1,utf8-csv-delas-v1,source,"1,1Mb",67466,,2004-02-01,pt-br:dic;delas:nilc:2004:original,1980,2015,a2c46749e6ed2056ac968f8da4c89cb8c41b9461be79751b1a6a232d,,,
pt-br;1990-:dic;delas;csv:okbr:2015;r4019,data/mirror,DELAS,utf8-csv-delas-v1,source,"1,2Mb",75106,,,pt-br:dic;delas:nilc:2015;r4019:original,,,a7ae9536b76f12484db813c5043c2b93ff8cde4f888ec3d2056a595d,,,
pt-br;1980-1990:dic;alpha;csv:okbr:2018,data,Alphabet-before1990.csv,utf8-csv-alpha-v1,source,243b,47,,,,,,b97dd54f3be3faa9f6d3766a70962ffd8dafb544,,,
pt-br;1990-:dic;alpha-sort;csv:okbr:2015,data,Alphabet_sort.csv,utf8-csv-alpha_sort-v1,source,176b,27,,,,,,eaf45cf03e467ddc5f00ecfb07e035482c11944d,,,
pt-br;1990-:dic;alpha;csv:okbr:2015,data,Alphabet.csv,utf8-csv-alpha-v1,source,255b,50,,,,,,a4c05e9fcb9850b2d90aa82feefcca1fb886437c,,,
pt-br:dic-meta;grammatical_codes;csv:okbr:2015,data,grammatical_codes,utf8-csv-grammatical-v1,source,314b,11,,,,,,80e113b219d69e45a57548582e412d8435030e51,,,
pt-br:dic-meta;inflexional_codes;csv:okbr:2015,data,inflectional_codes.csv,utf8-csv-inflexional-v1,source,337b,20,,,,,,4d07e34f6c7c6d5a62e69b821f4b13ab32749030,,,
pt-br:dic;alpha-sort:unitexgramlab:2015:original,_tmp,Alphabet_sort.txt,utf16-text-alpha_sort-v1,original,250b,27,,2004-02-01?,pt-br:dic;alpha-sort:nilc:2004:original,1990,(now),dc5d3bed60c6c047d40f6f587cbe80b7a19d9f1561c155b64f91049d,The sorted alphabet file defines the sorting priorities of the letters of a language.,http://unitexgramlab.org,https://github.com/UnitexGramLab/unitex-lingua/blob/master/pt-BR/Alphabet_sort.txt
pt-br:dic;alpha:unitexgramlab:2015:original,_tmp,Alphabet.txt,utf16-text-alpha-v1,original,394b,49,,2004-02-01?,pt-br:dic;alpha:nilc:2004:original,1990,(now),8d33627d3d870cb16dc060372f2d291f83c77229dd0b2f3dddc60ce8,"The alphabet file is a text file that describes all characters of a language, as well as the correspondances between capitalized and non-capitalized letters.",http://unitexgramlab.org,https://github.com/UnitexGramLab/unitex-lingua/blob/master/pt-BR/Alphabet.txt
pt-br:dic;delacf:nilc:2004:original,_tmp,DELACF_PB.dic,utf16-dic-delas-v1,original,302kb,4077,38,2004-02-09,_none_,1980,2015,fae9059702a9f6c3c8cde253742acd9dc415246512203b0a882248d4,,,
pt-br:dic;delaf:nilc:2015;v4:original,_tmp,Delaf2015v04,utf8-dic-delaf-v1,test-reference,303Mb,9072338,29110,2015-05-07,_none_,1990,2015,79a4751bc5ca69c1b1f154ddb1161114015344e7c33a0436b8c47db9,Dicionário de Palavras Simples Flexionadas para o Português Brasileiro. Possui aproximadamente 880.000 palavras flexionadas. ,http://www.nilc.icmc.usp.br/nilc/projects/unitex-pb/web/dicionarios.html,http://www.nilc.icmc.usp.br/nilc/projects/unitex-pb/web/files/DELAF_PB_v2.zip
pt-br:dic;delas:nilc:2004;r1:original,_tmp,DELAS_PB,utf16-dic-delas-v1,original,"2,1Mb",67465,303,2004-02-01,_none_,1980,2015,1c8c57dac91e7e03884e04e702dbdcfbfc95d844159423664bc08dd3,Dicionário de Palavras Simples para o Português Brasileiro. Possui 67465 canônicas associadas a suas regras de flexão.,http://www.nilc.icmc.usp.br/nilc/projects/unitex-pb/web/dicionarios.html,http://www.nilc.icmc.usp.br/nilc/projects/unitex-pb/web/files/DELAS_PB.zip
pt-br:dic;delas:nilc:2015;r4019:original,_tmp,DELAS_PB_v2,utf8-dic-delas-v1,original,"1,2Mb",75105,280,2015-05-07,_none_,1990,(now),af7e2e92d600834413d7f316a374bc35e1192b48531a0507480aa68b,Dicionário de Palavras Simples para o Português Brasileiro. Possui 75105 canônicas associadas a suas regras de flexão.,http://www.nilc.icmc.usp.br/nilc/projects/unitex-pb/web/dicionarios.html,http://www.nilc.icmc.usp.br/nilc/projects/unitex-pb/web/files/DELAS_PB_v2.zip
