lemma_plural,lemma_singular,classification
﻿ab-rogamento,ab-rogamento,N+XN:ms
ab-rogamentos,ab-rogamento,N+XN:mp
ab-rogação,ab-rogação,N+XN:fs
ab-rogações,ab-rogação,N+XN:fp
ab-rogáveis,ab-rogável,A+XA:mp:fp
ab-rogável,ab-rogável,A+XA:ms:fs
abaixa-luz,abaixa-luz,N+VN:ms
abaixa-luzes,abaixa-luz,N+VN:mp
abaixa-língua,abaixa-língua,N+VN:ms
abaixa-línguas,abaixa-língua,N+VN:mp
abaixo-assinado,abaixo-assinado,N+ADVA:ms
abaixo-assinados,abaixo-assinado,N+ADVA:mp
abre-alas,abre-alas,N+VN:ms:mp
abre-boca,abre-boca,N+VN:ms
abre-bocas,abre-boca,N+VN:mp
abre-campense,abre-campense,A+NA:ms:fs
abre-campenses,abre-campense,A+NA:mp:fp
abre-e-fecha,abre-e-fecha,N+VCONJV:ms:fs
abre-e-fechas,abre-e-fecha,N+VCONJV:mp:fp
abricó-do-brasil,abricó-do-brasil,N+NDN:ms
abricó-do-pará,abricó-do-pará,N+NDN:ms
abricós-do-brasil,abricó-do-brasil,N+NDN:mp
abricós-do-pará,abricó-do-pará,N+NDN:mp
abutua-grande,abutua-grande,N+NA:fs
abutuas-grandes,abutua-grande,N+NA:fp
acalenta-menino,acalenta-menino,N+VN:ms
acalenta-meninos,acalenta-meninos,N+VN:mp
afonso-arinense,afonso-arinense,A+NA:ms:fs
afonso-arinenses,afonso-arinense,A+NA:mp:fp
afonso-bezerrense,afonso-bezerrense,A+NA:ms:fs
afonso-bezerrenses,afonso-bezerrense,A+NA:mp:fp
afonso-claudense,afonso-claudense,A+NA:ms:fs
afonso-claudenses,afonso-claudense,A+NA:mp:fp
afro-ameríndio,afro-ameríndio,A+NA:ms
afro-ameríndios,afro-ameríndio,A+NA:mp
afro-asiático,afro-asiático,A+NA:ms
afro-asiáticos,afro-asiático,A+NA:mp
afro-baiano,afro-baiano,A+NA:ms
afro-baianos,afro-baiano,A+NA:mp
afro-brasileira,afro-brasileiro,A+NA:fs
afro-brasileiras,afro-brasileiro,A+NA:fp
afro-brasileiro,afro-brasileiro,A+NA:ms
afro-brasileiros,afro-brasileiro,A+NA:mp
afro-negra,afro-negro,A+NA:fs
afro-negras,afro-negro,A+NA:fp
afro-negro,afro-negro,A+NA:ms
afro-negros,afro-negro,A+NA:mp
agarra-pinto,agarra-pinto,N+VN:ms
agarra-pintos,agarra-pinto,N+VN:mp
agarra-pé,agarra-pé,N+VN:ms
agarra-pés,agarra-pé,N+VN:mp
aide-mémoire,aide-mémoire,N+NN:ms
ajudante-de-ordem,ajudante-de-ordem,N+NDN:ms
ajudantes-de-ordens,ajudante-de-ordem,N+NDN:mp
alagoa-grandense,alagoa-grandense,A+NA:ms:fs
alagoa-grandenses,alagoa-grandense,A+NA:mp:fp
alagoa-novense,alagoa-novense,A+NA:ms:fs
alagoa-novenses,alagoa-novense,A+NA:mp:fp
alemães-ocidentais,alemão-ocidental,A+NA:mp
alemães-orientais,alemão-oriental,A+NA:mp
alemão-ocidental,alemão-ocidental,A+NA:ms
alemão-oriental,alemão-oriental,A+NA:ms
algodão-doce,algodão-doce,N+NA:ms
algodões-doces,algodão-doce,N+NA:mp
almino-afonsense,almino-afonsense,A+NA:ms:fs
almino-afonsenses,almino-afonsense,A+NA:mp:fp
alta-costura,alta-costura,N+AN:fs
alta-tensão,alta-tensão,N+AN:fs
altar-mor,altar-mor,N+NA:ms
altares-mores,altar-mor,N+NA:mp
altas-tensões,alta-tensão,N+AN:fp
alto-astrais,alto-astral,A+AN:mp:fp
alto-astral,alto-astral,A+AN:ms:fs
alto-cúmulo,alto-cúmulo,N+AN:ms
alto-falante,alto-falante,N+ADVN:ms
alto-falantes,alto-falante,N+ADVN:mp
alto-forno,alto-forno,N+AN:ms
alto-garcense,alto-garcense,A+NA:ms:fs
alto-garcenses,alto-garcense,A+NA:mp:fp
alto-mar,alto-mar,N+AN:ms
alto-paranaense,alto-paranaense,A+NA:ms:fs
alto-paranaenses,alto-paranaense,A+NA:mp:fp
alto-relevo,alto-relevo,N+AN:ms
alto-rio-docense,alto-rio-docense,A+NNA:ms:fs
alto-rio-docenses,alto-rio-docense,A+NNA:mp:fp
altos-astrais,alto-astral,A+AN:mp:fp
altos-cúmulos,alto-cúmulo,N+AN:mp
altos-fornos,alto-forno,N+AN:mp
altos-mares,alto-mar,N+AN:mp
altos-relevos,alto-relevo,N+AN:mp
alça-pé,alça-pé,N+VN:ms
alça-pés,alça-pé,N+VN:mp
além-mar,além-mar,N+ADVN:ms
além-mares,além-mar,N+ADVN:mp
além-túmulo,além-túmulo,N+ADVN:ms
além-túmulos,além-túmulo,N+ADVN:mp
ama-de-leite,ama-de-leite,N+NDN:fs
ama-seca,ama-seca,N+NA:fs
amarelo-claro,amarelo-claro,A+NA:ms
amarelo-claros,amarelo-claro,A+NA:mp
amarelo-ouro,amarelo-ouro,N+NN:ms
amarelo-ouros,amarelo-ouro,N+NN:mp
amarelos-claros,amarelo-claro,A+NA:mp
amarelos-ouros,amarelo-ouro,N+NN:mp
amaro-leitense,amaro-leitense,A+NA:ms:fs
amaro-leitenses,amaro-leitense,A+NA:mp:fp
amas-de-leite,ama-de-leite,N+NDN:fp
amas-secas,ama-seca,N+NA:fp
ameixa-preta,ameixa-preta,N+NA:fs
ameixas-pretas,ameixa-preta,N+NA:fp
amigo-oculto,amigo-oculto,N+NA:ms
amigos-ocultos,amigo-oculto,N+NA:mp
amizade-colorida,amizade-colorida,N+NA:fs
amizades-coloridas,amizade-colorida,N+NA:fp
amor-perfeito,amor-perfeito,N+NA:ms
amor-próprio,amor-próprio,N+NA:ms
amores-perfeitos,amor-perfeito,N+NA:mp
amores-próprios,amor-próprio,N+NA:mp
amostra-tipo,amostra-tipo,N+NN:fs
amostras-tipo,amostra-tipo,N+NN:fp
amostras-tipos,amostra-tipo,N+NN:fp
ana-pinta,ana-pinta,N+NN:fs
ana-pintas,ana-pinta,N+NN:fp
ando-peruano,ando-peruano,A+NA:ms
ando-peruanos,ando-peruano,A+NA:mp
anglo-americano,anglo-americano,A+NA:ms
anglo-americanos,anglo-americano,A+NA:mp
anglo-canadense,anglo-canadense,A+NA:ms:fs
anglo-canadenses,anglo-canadense,A+NA:mp:fp
anglo-saxão,anglo-saxão,N+NA:ms
anglo-saxônica,anglo-saxônico,A+NA:fs
anglo-saxônicas,anglo-saxônico,A+NA:fp
anglo-saxônico,anglo-saxônico,A+NA:ms
anglo-saxônicos,anglo-saxônico,A+NA:mp
anglo-saxões,anglo-saxão,N+NA:mp
ano-de-noivos,ano-de-noivos,N+NDN:ms
ano-luz,ano-luz,N+NN:ms
anos-de-noivos,ano-de-noivos,N+NN:mp
anos-luz,ano-luz,N+NN:mp
ante-hipófise,ante-hipófise,N+XN:fs
ante-hipófises,ante-hipófise,N+XN:fp
ante-histórica,ante-histórico,A+XA:fs
ante-históricas,ante-histórico,A+XA:fp
ante-histórico,ante-histórico,A+XA:ms
ante-históricos,ante-histórico,A+XA:mp
ante-rosto,ante-rosto,N+XN:ms
ante-rostos,ante-rosto,N+XN:mp
ante-sala,ante-sala,N+XN:fs
ante-salas,ante-sala,N+XN:fp
ante-sépala,ante-sépalo,A+XN:fs
ante-sépalas,ante-sépalo,A+XN:fp
ante-sépalo,ante-sépalo,A+XN:ms
ante-sépalos,ante-sépalo,A+XN:mp
antero-posterior,antero-posterior,A+NA:ms:fs
antero-posteriores,antero-posterior,A+NA:mp
anti-herói,anti-herói,N+XN:ms
anti-heróis,anti-herói,N+XN:mp
anti-higiênica,anti-higiênico,A+XA:fs
anti-higiênicas,anti-higiênico,A+XA:fp
anti-higiênico,anti-higiênico,A+XA:ms
anti-higiênicos,anti-higiênico,A+XA:mp
anti-histamina,anti-histamina,N+XN:ms
anti-histaminas,anti-histamina,N+XN:mp
