canonical_form,graph_id
﻿abacial,A308
abadengo,A201
abadesco,A201
abadianense,A301
abadiense,A301
abaeteense,A301
abaetetubense,A301
abafadiço,A201
abafado,A201
abafador,A218
abaianado,A201
abaixado,A201
abaixador,A218
abaladiço,A201
abalado,A201
abalizado,A201
abalizador,A218
abalável,A308
abanador,A218
abancado,A201
abandonado,A201
abandonável,A308
abarbado,A201
abarcado,A201
abarcador,A218
abarcante,A301
abarreirado,A201
abarrotado,A201
abastado,A201
abastecedor,A218
abastecido,A201
abatedor,A218
abatiaense,A301
abatido,A201
abatumado,A201
abaxial,A308
abdicador,A218
abdicadora,A301
abdicante,A301
abdicativo,A201
abdicatário,A201
abdicatório,A201
abdicável,A308
abdominal,A308
abdominogenital,A308
abdominoscópico,A201
abdominoso,A201
abducente,A301
abdutor,A218
abeberado,A201
abecedense,A301
abecedário,A201
abeirado,A201
abelhudo,A201
abentérico,A201
abençoado,A201
abençoador,A218
abençoante,A301
aberrado,A201
aberrante,A301
aberto,A201
abespinhado,A201
abezerrado,A201
abietáceo,A201
abismado,A201
abismal,A308
abismoso,A201
abismático,A201
abissal,A308
abissínio,A201
abiótico,A201
abjeto,A201
abjuratório,A201
ablamelar,A303
ablastêmico,A201
abnegativo,A201
abnormal,A308
abnóxio,A201
abobalhado,A201
abocanhado,A201
abocanhável,A308
abolicionista,A301
abolitivo,A201
abominando,A201
abominável,A308
abonado,A201
abonador,A218
abonançável,A308
abonativo,A201
abonatário,A201
abonatório,A201
abonável,A308
aboral,A308
abordador,A218
abordoado,A201
abordável,A308
aborrecedor,A218
aborrecido,A201S03
aborrecível,A308
aborregado,A201
aborrível,A308
abortado,A201
abortivo,A201
abortício,A201
abortífero,A201
aborígine,A301
abotoado,A201
abotoador,A218
abotoável,A308
abrandado,A201
abrangedor,A218
abrangente,A301
abrangido,A201
abrangível,A308
abranquial,A308
abrasado,A201
abrasador,A218
abrasante,A301
abrasivo,A201
abraçado,A201D081
abrejeirado,A201
abreugráfico,A201
abreviativo,A201
abridor,A218
abrigado,A201
abrilhantado,A201
abrolhoso,A201
abrumado,A201
abruptado,A201
abrupto,A201
abrânquio,A201
abrãoense,A301
absidal,A308
absintado,A201
absolto,A201
absolutista,A301
absoluto,A201
absolutório,A201
absolvente,A301
absolvido,A201
absorto,A201
absorvedor,A218
absorvente,A301
absorvido,A201
absorvível,A308
abstinente,A301
abstracionista,A301
abstrativo,A201
abstrato,A201
abstraído,A201
abstruso,A201
abstêmio,A201
absurdo,A201
abugrado,A201
abundante,A301
abusivo,A201
abóbora,A306
abúlico,A201
acabadiço,A201
acabado,A201
acabador,A218
acabralhado,A201
acabrunhado,A201
acachapante,A301
acaciano,A201
academial,A308
academizável,A308
acadiano,A201
acadêmico,A201
acafajestado,A201
acajutibense,A301
acalcanhado,A201
acalcanhável,A308
acalentado,A201
acalentador,A218
acalicino,A201
acalmado,A201
acalorado,A201
acamado,A201
acamaradado,A201
acampainhado,A201
acamurçável,A308
acanhado,A201
acaniáceo,A201
acantocarpo,A201
acantocládio,A201
acantocárpico,A201
acantopterígio,A201
acantáceo,A201
acaraense,A301
acaraiense,A301
acaranguejado,A201
acarapense,A301
acarauense,A301
acardíaco,A201
acareado,A201
acariciado,A201
acariciador,A218
acariciante,A301
acariciativo,A201
acaricida,A301
acariense,A301
acarino,A201
acariáceo,A201
acarneirado,A201
acarpo,A201
acasacado,A201
acatado,A201
acatarrado,A201
acatingado,A201
acatocarpáceo,A201
acatável,A308
acatólico,A201
acaudilhado,A201
acaule,A301
acaulescente,A301
acautelado,A201
acautelatório,A201
acavaletado,A201
acaçapante,A301
accessível,A308
acedente,A301
aceiro,A201
aceitador,A218
aceitante,A301
aceito,A201
aceitável,A308
acelerado,A201
acelerador,A218
acelomado,A201
acelular,A303
acendido,A201
acendível,A308
acenoso,A201
acentuado,A201
acentual,A308
acerbo,A201
aceroso,A201
acertável,A308
aceráceo,A201
acerável,A308
aceso,A201
acessivo,A201
acessível,A308
acessório,A201
acetabuliforme,A301
acetilsalisílico,A201
acetilênico,A201
acetoso,A201
achacado,A201
achacador,A218
achacável,A308
achadiço,A201
achado,A201
achamboado,A201
achavascável,A308
achegado,A201
achinado,A201
achável,A308
aciculado,A201
acicular,A303
aciculifoliado,A201
acidentado,A201
acidental,A308
acidentário,A201
acidentável,A308
acidificante,A001
acidificável,A308
acidável,A308
acidífero,A201
acintoso,A201
acinzado,A201
acionado,A201
acionador,A218
acional,A308
acionista,A301
acionário,A201
acionável,A308
acipitrídeo,A201
acirrado,A201
aclamado,A201
aclamativo,A201
aclamatório,A201
aclamídeo,A201
aclarado,A201
aclavulado,A201
aclimado,A201
aclimatável,A308
aclimável,A308
aclive,A301
aclorofilado,A201
aclorofilo,A201
aclorofiláceo,A201
acobertado,A201
acocorado,A201
acoimável,A308
acoitado,A201
acolchoado,A201
acolchoável,A308
acolhedor,A218
acolhido,A201
acometido,A201
acometível,A308
acomodado,A201
acomodatício,A201
acomodável,A308
acompadrado,A201
acompanhado,A201
acompanhador,A218
acompanhante,A301
acompanhável,A308
aconchegado,A201
aconchegante,A301
acondicionado,A201
aconselhado,A201
aconselhador,A218
aconselhável,A308
acontecido,A201
acontecível,A308
aconítico,A201
acoplável,A308
acordado,A201
acordante,A301
acorde,A301
acoroçoado,A201
acoroçoável,A308
acorrentado,A201
acorrentável,A308
acorçoado,A201
acossado,A201
acostado,A201
acostumado,A201
acostável,A308
acotiledôneo,A201
acotilédone,A301
acotilédono,A201
